district	firstname	lastname	party	committee_leadership	committee_membership	UID
CA47	Katie	Porter	D	['GO27_118']	['GO00_118', 'II00_118', 'GO05_118', 'GO06_118', 'II10_118', 'II13_118']	P000618
CA48	Darrell	Issa	R	['JU03_118']	['FA00_118', 'FD00_118', 'JU00_118', 'SY00_118', 'FA14_118', 'FA17_118', 'JU05_118', 'SY15_118', 'SY16_118']	I000056
CA49	Mike	Levin	D	['VR10_118']	['II00_118', 'VR00_118', 'II10_118', 'II13_118', 'VR03_118']	L000593
CA50	Scott	Peters	D	[]	['BU00_118', 'IF00_118', 'IF02_118', 'IF03_118', 'IF18_118']	P000608
CA51	Sara	Jacobs	D	['FA16_118']	['AS00_118', 'FA00_118', 'AS26_118', 'AS28_118', 'FA06_118']	J000305
CA52	Juan	Vargas	D	[]	['BA00_118', 'BA01_118', 'BA16_118', 'BA20_118']	V000130
CO01	Diana	DeGette	D	['IF03_118']	['IF00_118', 'IF02_118', 'IF18_118']	D000197
CO02	Joe	Neguse	D	['II10_118']	['II00_118', 'JU00_118', 'RU00_118', 'II13_118', 'JU03_118', 'JU05_118']	N000191
CO03	Lauren	Boebert	R	[]	['GO00_118', 'II00_118', 'GO05_118', 'GO24_118', 'II06_118', 'II13_118']	B000825
CO04	Ken	Buck	R	[]	['FA00_118', 'JU00_118', 'FA05_118', 'FA07_118', 'JU01_118', 'JU05_118']	B001297
CO05	Doug	Lamborn	R	['AS29_118']	['AS00_118', 'II00_118', 'AS25_118', 'II06_118', 'II10_118']	L000564
CO06	Jason	Crow	D	['FA17_118']	['FA00_118', 'IG00_118', 'IG01_118', 'IG04_118']	C001121
CO07	Brittany	Pettersen	D	[]	['BA00_118', 'BA01_118', 'BA04_118']	P000620
CO08	Yadira	Caraveo	D	[]	['AG00_118', 'SY00_118', 'SY16_118']	C001134
CT01	John	Larson	D	['WM01_118']	['WM00_118', 'WM05_118']	L000557
CT02	Joe	Courtney	D	['AS28_118']	['AS00_118', 'ED00_118', 'AS25_118', 'ED02_118', 'ED13_118']	C001069
CT03	Rosa	DeLauro	D	['AP00_118', 'AP07_118']	[]	D000216
CT04	James	Himes	D	['IG00_118']	['BA00_118']	H001047
CT05	Jahana	Hayes	D	[]	['AG00_118', 'ED00_118', 'ED02_118', 'ED14_118']	H001081
DC00	Eleanor	Norton	D	['PW12_118']	['GO00_118', 'PW00_118', 'GO05_118', 'GO24_118', 'PW02_118', 'PW05_118', 'PW13_118']	N000147
DE00	Lisa	Blunt Rochester	D	[]	['IF00_118', 'IF03_118', 'IF14_118', 'IF17_118']	B001303
FL01	Matt	Gaetz	R	[]	['AS00_118', 'FD00_118', 'JU00_118', 'AS02_118', 'AS35_118', 'JU05_118', 'JU08_118']	G000578
FL02	Neal	Dunn	R	[]	['IF00_118', 'ZS00_118', 'IF14_118', 'IF16_118', 'IF17_118']	D000628
FL03	Kat	Cammack	R	[]	['AG00_118', 'FD00_118', 'IF00_118', 'IF02_118', 'IF16_118', 'IF17_118']	C001039
FL04	Aaron	Bean	R	['ED14_118']	['ED00_118', 'PW00_118', 'SM00_118', 'ED02_118', 'PW05_118', 'PW07_118', 'PW12_118', 'SM23_118', 'SM24_118']	B001314
FL05	John	Rutherford	R	[]	['AP00_118', 'SO00_118', 'AP15_118', 'AP18_118', 'AP20_118']	R000609
FL06	Michael	Waltz	R	['AS03_118']	['AS00_118', 'FA00_118', 'IG00_118', 'AS02_118', 'AS29_118', 'FA05_118', 'FA17_118', 'IG01_118', 'IG02_118']	W000823
FL07	Cory	Mills	R	[]	['AS00_118', 'FA00_118', 'AS02_118', 'AS26_118', 'FA16_118', 'FA17_118']	M001216
FL08	Bill	Posey	R	[]	['BA00_118', 'SY00_118', 'BA04_118', 'BA20_118', 'SY16_118', 'SY18_118']	P000599
FL09	Darren	Soto	D	[]	['AG00_118', 'IF00_118', 'IF16_118', 'IF17_118']	S001200
FL10	Maxwell	Frost	D	[]	['GO00_118', 'SY00_118', 'GO06_118', 'GO24_118', 'SY18_118']	F000476
