type	parent	code	name
subcommittee	IF00	IF18	Environment, Manufacturing, and Critical Materials
standing	II00	II00	Committee on Natural Resources
subcommittee	II00	II06	Energy and Mineral Resources
subcommittee	II00	II10	Federal Lands
subcommittee	II00	II13	Water, Wildlife and Fisheries
subcommittee	II00	II15	Oversight and Investigations
subcommittee	II00	II24	Indian and Insular Affairs
standing	JU00	JU00	Committee on the Judiciary
subcommittee	JU00	JU01	Immigration Integrity, Security, and Enforcement
subcommittee	JU00	JU03	Courts, Intellectual Property, and the Internet
subcommittee	JU00	JU05	Administrative State, Regulatory Reform, and Antitrust
subcommittee	JU00	JU08	Crime and Federal Government Surveillance
subcommittee	JU00	JU10	Constitution and Limited Government
subcommittee	JU00	JU13	Responsiveness and Accountability to Oversight
standing	PW00	PW00	Committee on Transportation and Infrastructure
subcommittee	PW00	PW02	Water Resources and Environment
subcommittee	PW00	PW05	Aviation
subcommittee	PW00	PW07	Coast Guard and Maritime Transportation
subcommittee	PW00	PW12	Highways and Transit
subcommittee	PW00	PW13	Economic Development, Public Buildings, and Emergency Management
subcommittee	PW00	PW14	Railroads, Pipelines, and Hazardous Materials
standing	RU00	RU00	Committee on Rules
subcommittee	RU00	RU02	Legislative and Budget Process
subcommittee	RU00	RU04	Rules and Organization of the House
standing	SM00	SM00	Committee on Small Business
subcommittee	SM00	SM21	Rural Development, Energy, and Supply Chains
subcommittee	SM00	SM22	Innovation, Entrepreneurship, and Workforce Development
subcommittee	SM00	SM23	Contracting and Infrastructure
subcommittee	SM00	SM24	Oversight, Investigations, and Regulations
subcommittee	SM00	SM27	Economic Growth, Tax, and Capital Access
standing	SO00	SO00	Committee on Ethics
standing	SY00	SY00	Committee on Science, Space, and Technology
subcommittee	SY00	SY15	Research and Technology
subcommittee	SY00	SY16	Space and Aeronautics
subcommittee	SY00	SY18	Environment
subcommittee	SY00	SY20	Energy
subcommittee	SY00	SY21	Investigations and Oversight
standing	VR00	VR00	Committee on Veterans' Affairs
subcommittee	VR00	VR03	Health
subcommittee	VR00	VR08	Oversight and Investigations
subcommittee	VR00	VR09	Disability Assistance and Memorial Affairs
subcommittee	VR00	VR10	Economic Opportunity
subcommittee	VR00	VR11	Technology Modernization
standing	WM00	WM00	Committee on Ways and Means
subcommittee	WM00	WM01	Social Security
subcommittee	WM00	WM02	Health
subcommittee	WM00	WM03	Work and Welfare
subcommittee	WM00	WM04	Trade
subcommittee	WM00	WM05	Tax
subcommittee	WM00	WM06	Oversight
select	IG00	IG00	Permanent Select Committee on Intelligence
subcommittee	IG00	IG01	Central Intelligence Agency
subcommittee	IG00	IG02	National Security Agency and Cyber
subcommittee	IG00	IG04	Defense Intelligence and Overhead Architecture
subcommittee	IG00	IG06	National Intelligence Enterprise
subcommittee	IG00	IG09	Oversight and Investigations
select	FD00	FD00	Select Subcommittee on the Weaponization of the Federal Government
select	VC00	VC00	Select Subcommittee on the Coronavirus Pandemic
select	ZS00	ZS00	Select Committee on the  Strategic Competition Between the United States and the Chinese Communist Party
joint	EC00	EC00	Joint Economic Committee
joint	IT00	IT00	Joint Committee on Taxation
joint	JL00	JL00	Joint Committee on the Library
joint	JP00	JP00	Joint Committee on Printing
