state	firstname	lastname	party	committee_leadership	committee_membership
AZ-Sen3	Mark	Kelly	D	['SSAS14_118']	['SSEG00_118', 'SSAS00_118', 'SSAS20_118', 'SSAS15_118', 'SSAS16_118', 'SPAG00_118', 'SSEV00_118', 'JSEC00_118']
LA-Sen3	John	Kennedy	R	['SSAP22_118', 'SSBK12_118']	['SSAP00_118', 'SSAP16_118', 'SSAP23_118', 'SSAP14_118', 'SSAP18_118', 'SSAP24_118', 'SSJU00_118', 'SSSB00_118', 'SSBU00_118', 'SSBK00_118', 'SSBK09_118', 'SSBK04_118']
ME-Sen1	Angus S., Jr.	King	I	['SSAS16_118']	['SSEG00_118', 'SLIN00_118', 'SSVA00_118', 'SSAS00_118', 'SSAS14_118', 'SSAS13_118']
MN-Sen1	Amy	Klobuchar	D	['SSRA00_118', 'JSPR00_118', 'JSLC00_118']	['SSCM00_118', 'SSAF00_118', 'SSJU00_118', 'JSEC00_118']
OK-Sen3	James	Lankford	R	['SSFI12_118', 'SSGA22_118', 'SLET00_118']	['SSFI00_118', 'SSFI10_118', 'SSFI11_118', 'SLIN00_118', 'SSGA00_118', 'SSGA20_118']
UT-Sen3	Mike	Lee	R	['JSEC00_118']	['SSEG00_118', 'SSJU00_118', 'SSBU00_118']
NM-Sen2	Ben Ray	Luján	D	[]	['SSCM00_118', 'SSHR00_118', 'SSAF00_118', 'SCNC00_118', 'SSBU00_118', 'SLIA00_118']
WY-Sen2	Cynthia M.	Lummis	R	['SSBK09_118']	['SSCM00_118', 'SSEV00_118', 'SSBK00_118', 'SSBK12_118', 'SSBK08_118']
WV-Sen1	Joe, III	Manchin	D	['SSEG00_118', 'SSAS21_118']	['SSAP00_118', 'SSAP01_118', 'SSAP16_118', 'SSAP23_118', 'SSAP18_118', 'SSAP19_118', 'SSAP24_118', 'SSVA00_118', 'SSAS00_118', 'SSAS14_118', 'SSAS16_118']
MA-Sen2	Edward J.	Markey	D	[]	['SSCM00_118', 'SSHR00_118', 'SSSB00_118', 'SSEV00_118']
KS-Sen2	Roger	Marshall	R	[]	['SSHR00_118', 'SSAF00_118', 'SSGA00_118', 'SSGA01_118', 'SSBU00_118']
KY-Sen2	Mitch	McConnell	R	['SLIN00_118']	['SSAP00_118', 'SSAP01_118', 'SSAP02_118', 'SSAP22_118', 'SSAP17_118', 'SSAP19_118', 'SSAP20_118', 'SSAF00_118', 'SSRA00_118']
NJ-Sen1	Robert	Menendez	D	['SSFR00_118', 'SSBK04_118']	['SSFI00_118', 'SSFI10_118', 'SSFI13_118', 'SSFI11_118', 'SSBK00_118', 'SSBK12_118', 'SSBK09_118']
OR-Sen2	Jeff	Merkley	D	['SSAP17_118']	['SSAP00_118', 'SSAP01_118', 'SSAP16_118', 'SSAP22_118', 'SSAP18_118', 'SSAP20_118', 'SSFR00_118', 'SSRA00_118', 'SSEV00_118', 'SSBU00_118', 'JSPR00_118']
KS-Sen3	Jerry	Moran	R	['SSAP16_118', 'SSVA00_118']	['SSCM00_118', 'SSAP00_118', 'SSAP01_118', 'SSAP02_118', 'SSAP18_118', 'SSAP20_118', 'SSAP24_118', 'SLIN00_118']
OK-Sen2	Markwayne	Mullin	R	[]	['SSHR00_118', 'SSAS00_118', 'SSAS14_118', 'SSAS20_118', 'SSAS15_118', 'SSEV00_118', 'SLIA00_118']
AK-Sen3	Lisa	Murkowski	R	['SSAP17_118', 'SLIA00_118']	['SSAP00_118', 'SSAP16_118', 'SSAP02_118', 'SSAP22_118', 'SSAP14_118', 'SSAP19_118', 'SSHR00_118', 'SSEG00_118']
CT-Sen1	Christopher	Murphy	D	['SSAP14_118']	['SSAP00_118', 'SSAP02_118', 'SSAP18_118', 'SSAP08_118', 'SSAP20_118', 'SSAP24_118', 'SSHR00_118', 'SSFR00_118']
WA-Sen3	Patty	Murray	D	['SSAP00_118', 'SSAP01_118', 'SSAP16_118', 'SSAP23_118', 'SSAP17_118', 'SSAP08_118', 'SSAP19_118', 'SSAP20_118']	['SSAP02_118', 'SSAP22_118', 'SSAP14_118', 'SSAP18_118', 'SSAP24_118', 'SSHR00_118', 'SSVA00_118', 'SSBU00_118']
GA-Sen2	Jon	Ossoff	D	[]	['SLIN00_118', 'SSRA00_118', 'SSJU00_118', 'SSGA00_118', 'SSGA01_118', 'SSGA20_118', 'JSLC00_118']
CA-Sen3	Alex	Padilla	D	[]	['SSRA00_118', 'SSJU00_118', 'SSGA00_118', 'SSGA01_118', 'SSGA22_118', 'SSEV00_118', 'SSBU00_118', 'JSPR00_118']
KY-Sen3	Rand	Paul	R	['SSGA00_118', 'SSGA01_118', 'SSGA20_118', 'SSGA22_118']	['SSHR00_118', 'SSFR00_118', 'SSSB00_118']
