district,firstname,lastname,party
NY07,Nydia,Velázquez,D
NY08,Hakeem,Jeffries,D
NY09,Yvette,Clarke,D
NY10,Daniel,Goldman,D
NY11,Nicole,Malliotakis,R
NY12,Jerrold,Nadler,D
NY13,Adriano,Espaillat,D
NY14,Alexandria,Ocasio-Cortez,D
NY15,Ritchie,Torres,D
NY16,Jamaal,Bowman,D
NY17,Michael,Lawler,R
NY18,Patrick,Ryan,D
NY19,Marcus,Molinaro,R
NY20,Paul,Tonko,D
NY21,Elise,Stefanik,R
NY22,Brandon,Williams,R
NY23,Nicholas,Langworthy,R
NY24,Claudia,Tenney,R
NY25,Joseph,Morelle,D
NY26,Brian,Higgins,D
OH01,Greg,Landsman,D
OH02,Brad,Wenstrup,R
OH03,Joyce,Beatty,D
OH04,Jim,Jordan,R
OH05,Robert,Latta,R
OH06,Bill,Johnson,R
OH07,Max,Miller,R
OH08,Warren,Davidson,R
OH09,Marcy,Kaptur,D
OH10,Michael,Turner,R
OH11,Shontel,Brown,D
OH12,Troy,Balderson,R
OH13,Emilia,Sykes,D
OH14,David,Joyce,R
OH15,Mike,Carey,R
OK01,Kevin,Hern,R
OK02,Josh,Brecheen,R
OK03,Frank,Lucas,R
OK04,Tom,Cole,R
OK05,Stephanie,Bice,R
OR01,Suzanne,Bonamici,D
OR02,Cliff,Bentz,R
OR03,Earl,Blumenauer,D
OR04,Val,Hoyle,D
OR05,Lori,Chavez-DeRemer,R
OR06,Andrea,Salinas,D
PA01,Brian,Fitzpatrick,R
PA02,Brendan,Boyle,D
PA03,Dwight,Evans,D
PA04,Madeleine,Dean,D
PA05,Mary,Scanlon,D
PA06,Chrissy,Houlahan,D
PA07,Susan,Wild,D
PA08,Matt,Cartwright,D
PA09,Daniel,Meuser,R
PA10,Scott,Perry,R
PA11,Lloyd,Smucker,R
PA12,Summer,Lee,D
PA13,John,Joyce,R
PA14,Guy,Reschenthaler,R
PA15,Glenn,Thompson,R
PA16,Mike,Kelly,R
PA17,Christopher,Deluzio,D
PR00,Jenniffer,González-Colón,R
RI01,David,Cicilline,D
RI02,Seth,Magaziner,D
SC01,Nancy,Mace,R
SC02,Joe,Wilson,R
SC03,Jeff,Duncan,R
SC04,William,Timmons,R
SC05,Ralph,Norman,R
SC06,James,Clyburn,D
SC07,Russell,Fry,R
SD00,Dusty,Johnson,R
TN01,Diana,Harshbarger,R
TN02,Tim,Burchett,R
TN03,Charles,Fleischmann,R
TN04,Scott,DesJarlais,R
TN05,Andrew,Ogles,R
TN06,John,Rose,R
TN07,Mark,Green,R
TN08,David,Kustoff,R
TN09,Steve,Cohen,D
TX01,Nathaniel,Moran,R
TX02,Dan,Crenshaw,R
TX03,Keith,Self,R
TX04,Pat,Fallon,R
TX05,Lance,Gooden,R
TX06,Jake,Ellzey,R
TX07,Lizzie,Fletcher,D
TX08,Morgan,Luttrell,R
TX09,Al,Green,D
TX10,Michael,McCaul,R
TX11,August,Pfluger,R
TX12,Kay,Granger,R
TX13,Ronny,Jackson,R
TX14,Randy,Weber,R
TX15,Monica,De La Cruz,R
TX16,Veronica,Escobar,D
TX17,Pete,Sessions,R
TX18,Sheila,Jackson Lee,D
TX19,Jodey,Arrington,R
TX20,Joaquin,Castro,D
TX21,Chip,Roy,R
TX22,Troy,Nehls,R
TX23,Tony,Gonzales,R
TX24,Beth,Van Duyne,R
TX25,Roger,Williams,R
TX26,Michael,Burgess,R
TX27,Michael,Cloud,R
TX28,Henry,Cuellar,D
TX29,Sylvia,Garcia,D
TX30,Jasmine,Crockett,D
TX31,John,Carter,R
TX32,Colin,Allred,D
TX33,Marc,Veasey,D
TX34,Vicente,Gonzalez,D
TX35,Greg,Casar,D
TX36,Brian,Babin,R
TX37,Lloyd,Doggett,D
TX38,Wesley,Hunt,R
UT01,Blake,Moore,R
UT02,Chris,Stewart,R
UT03,John,Curtis,R
UT04,Burgess,Owens,R
VA01,Robert,Wittman,R
VA02,Jennifer,Kiggans,R
VA03,Robert,Scott,D
VA04,,,
VA05,Bob,Good,R
VA06,Ben,Cline,R
VA07,Abigail,Spanberger,D
VA08,Donald,Beyer,D
VA09,H.,Griffith,R
VA10,Jennifer,Wexton,D
VA11,Gerald,Connolly,D
VI00,Stacey,Plaskett,D
VT00,Becca,Balint,D
WA01,Suzan,DelBene,D
WA02,Rick,Larsen,D
WA03,Marie,Perez,D
WA04,Dan,Newhouse,R
WA05,Cathy,Rodgers,R
WA06,Derek,Kilmer,D
WA07,Pramila,Jayapal,D
WA08,Kim,Schrier,D
WA09,Adam,Smith,D
WA10,Marilyn,Strickland,D
WI01,Bryan,Steil,R
WI02,Mark,Pocan,D
WI03,Derrick,Van Orden,R
WI04,Gwen,Moore,D
WI05,Scott,Fitzgerald,R
WI06,Glenn,Grothman,R
WI07,Thomas,Tiffany,R
WI08,Mike,Gallagher,R
WV01,Carol,Miller,R
WV02,Alexander,Mooney,R
WY00,Harriet,Hageman,R
