unitid,effydlev,xeydetot,efydetot,xeydeexc,efydeexc,xeydesom,efydesom,xeydenon,efydenon
103954,"Undergraduate, degree/certificate-seeking",C,83,A,,A,,C,83.0
103963,All students total,R,655,A,,A,,R,655.0
103963,Undergraduate total,R,655,A,,A,,R,655.0
103963,"Undergraduate, degree/certificate-seeking",C,655,A,,A,,C,655.0
104090,All students total,R,2008,R,651.0,R,1357.0,R,0.0
104090,Undergraduate total,R,1954,R,597.0,R,1357.0,R,0.0
104090,"Undergraduate, degree/certificate-seeking",R,1954,R,597.0,R,1357.0,R,0.0
104090,Graduate,R,54,R,54.0,Z,0.0,R,0.0
104151,All students total,R,82869,R,7411.0,R,66538.0,R,8920.0
104151,Undergraduate total,R,68985,R,6339.0,R,60032.0,R,2614.0
104151,"Undergraduate, degree/certificate-seeking",R,67904,R,5654.0,R,59770.0,R,2480.0
104151,"Undergraduate, non-degree/certificate-seeking",R,1081,R,685.0,R,262.0,R,134.0
104151,Graduate,R,13884,R,1072.0,R,6506.0,R,6306.0
104160,All students total,R,9712,R,3971.0,R,3912.0,R,1829.0
104160,Undergraduate total,R,9712,R,3971.0,R,3912.0,R,1829.0
104160,"Undergraduate, degree/certificate-seeking",R,8375,R,3404.0,R,3527.0,R,1444.0
104160,"Undergraduate, non-degree/certificate-seeking",R,1337,R,567.0,R,385.0,R,385.0
104179,All students total,R,52329,R,10431.0,R,29028.0,R,12870.0
104179,Undergraduate total,R,40361,R,6665.0,R,26650.0,R,7046.0
104179,"Undergraduate, degree/certificate-seeking",R,38590,R,6120.0,R,26528.0,R,5942.0
104179,"Undergraduate, non-degree/certificate-seeking",R,1771,R,545.0,R,122.0,R,1104.0
104179,Graduate,R,11968,R,3766.0,R,2378.0,R,5824.0
104346,All students total,R,6317,R,1487.0,R,3512.0,R,1318.0
104346,Undergraduate total,R,6317,R,1487.0,R,3512.0,R,1318.0
104346,"Undergraduate, degree/certificate-seeking",R,6254,R,1487.0,R,3512.0,R,1255.0
104346,"Undergraduate, non-degree/certificate-seeking",R,63,R,0.0,R,0.0,R,63.0
104391,All students total,R,87,A,,A,,R,87.0
104391,Undergraduate total,R,87,A,,A,,R,87.0
104391,"Undergraduate, degree/certificate-seeking",C,87,A,,A,,C,87.0
104425,All students total,R,9841,R,2578.0,R,1531.0,R,5732.0
104425,Undergraduate total,R,9841,R,2578.0,R,1531.0,R,5732.0
104425,"Undergraduate, degree/certificate-seeking",R,9158,R,2340.0,R,1345.0,R,5473.0
104425,"Undergraduate, non-degree/certificate-seeking",R,683,R,238.0,R,186.0,R,259.0
104443,All students total,R,79,A,,A,,R,79.0
104443,Undergraduate total,R,79,A,,A,,R,79.0
104443,"Undergraduate, degree/certificate-seeking",C,79,A,,A,,C,79.0
104568,All students total,R,601,R,0.0,R,601.0,R,0.0
104568,Undergraduate total,R,601,R,0.0,R,601.0,R,0.0
104568,"Undergraduate, degree/certificate-seeking",C,601,C,0.0,C,601.0,C,0.0
104577,All students total,R,6080,R,830.0,R,1619.0,R,3631.0
104577,Undergraduate total,R,6080,R,830.0,R,1619.0,R,3631.0
104577,"Undergraduate, degree/certificate-seeking",R,4117,R,754.0,R,1449.0,R,1914.0
104577,"Undergraduate, non-degree/certificate-seeking",R,1963,R,76.0,R,170.0,R,1717.0
104586,All students total,R,3207,R,107.0,R,1394.0,R,1706.0
104586,Undergraduate total,R,3154,R,105.0,R,1377.0,R,1672.0
104586,"Undergraduate, degree/certificate-seeking",R,3138,R,105.0,R,1377.0,R,1656.0
104586,"Undergraduate, non-degree/certificate-seeking",R,16,R,0.0,R,0.0,R,16.0
104586,Graduate,R,53,R,2.0,R,17.0,R,34.0
104665,All students total,R,15,R,2.0,Z,0.0,R,13.0
104665,Graduate,R,15,R,2.0,Z,0.0,R,13.0
104708,All students total,R,20920,R,13970.0,R,3547.0,R,3403.0
104708,Undergraduate total,R,20920,R,13970.0,R,3547.0,R,3403.0
104708,"Undergraduate, degree/certificate-seeking",R,14483,R,10764.0,R,2996.0,R,723.0
104708,"Undergraduate, non-degree/certificate-seeking",R,6437,R,3206.0,R,551.0,R,2680.0
104717,All students total,R,158889,R,134849.0,R,19738.0,R,4302.0
104717,Undergraduate total,R,96966,R,77157.0,R,16232.0,R,3577.0
104717,"Undergraduate, degree/certificate-seeking",R,92188,R,72905.0,R,16145.0,R,3138.0
104717,"Undergraduate, non-degree/certificate-seeking",R,4778,R,4252.0,R,87.0,R,439.0
104717,Graduate,R,61923,R,57692.0,R,3506.0,R,725.0
105145,All students total,R,7371,R,4191.0,R,1698.0,R,1482.0
105145,Undergraduate total,R,7371,R,4191.0,R,1698.0,R,1482.0
105145,"Undergraduate, degree/certificate-seeking",R,5321,R,2957.0,R,1482.0,R,882.0
105145,"Undergraduate, non-degree/certificate-seeking",R,2050,R,1234.0,R,216.0,R,600.0
105154,All students total,R,25089,R,19749.0,R,2428.0,R,2912.0
105154,Undergraduate total,R,25089,R,19749.0,R,2428.0,R,2912.0
105154,"Undergraduate, degree/certificate-seeking",R,17297,R,14447.0,R,1995.0,R,855.0
